"Time","X-Axis Acceleration","Y-Axis Acceleration","Z-Axis Acceleration","Force"
0.00,1.26,-0.22,1.09,-0.041
0.01,-1.61,1.60,0.94,-0.024
0.02,0.75,-0.14,0.04,-0.046
0.03,0.97,0.62,-0.19,-0.030
0.04,-1.91,2.36,0.57,-0.030
0.05,-0.43,-0.52,-0.64,-0.046
0.06,2.89,-0.52,-0.87,-0.062
0.07,-2.06,1.22,-0.72,-0.008
0.08,-1.02,-0.29,-0.19,-0.035
0.09,1.04,0.54,-2.60,-0.052
0.10,-1.32,0.24,0.41,-0.030
0.11,0.38,0.46,0.64,-0.057
0.12,-0.14,-0.14,0.72,-0.035
0.13,-0.14,0.24,-0.72,-0.041
0.14,0.23,-0.14,2.07,-0.035
0.15,-0.14,0.46,1.70,-0.035
0.16,0.97,0.77,-0.64,-0.030
0.17,-1.17,-1.05,0.72,-0.052
0.18,1.71,-1.50,-0.41,-0.057
0.19,0.75,-0.37,-2.30,-0.030
0.20,1.85,-2.34,-2.45,-0.046
0.21,0.38,0.09,0.26,-0.041
0.22,-2.50,-1.28,0.94,-0.024
0.23,1.85,-1.58,-2.53,-0.046
0.24,1.12,3.19,-0.57,-0.052
0.25,-0.21,-0.97,0.11,-0.062
0.26,-1.10,2.66,-4.26,-0.030
0.27,-0.95,1.83,-0.64,-0.019
0.28,-0.36,-2.64,3.96,-0.024
0.29,1.56,1.15,-3.88,-0.052
0.30,2.37,-2.72,1.39,-0.062
0.31,-1.02,-4.84,4.56,-0.013
0.32,0.38,0.62,-6.29,-0.024
0.33,1.12,-1.28,-4.03,-0.046
0.34,-1.47,0.01,3.28,-0.041
0.35,2.15,-1.05,-1.32,-0.024
0.36,1.48,-1.81,-1.24,-0.052
0.37,-2.94,-0.14,2.37,-0.030
0.38,-0.29,-0.75,-2.45,-0.024
0.39,1.48,2.43,-3.28,-0.057
0.40,-0.06,0.54,1.24,-0.052
0.41,-0.73,0.92,-0.04,-0.041
0.42,1.34,1.60,-2.00,-0.041
0.43,-1.39,-1.81,0.04,-0.052
0.44,-0.88,-0.67,0.34,-0.041
