Time,X-Axis Acceleration,Y-Axis Acceleration,Z-Axis Acceleration,Force,,
0,0.24,0,1.02,-0.011,,
0.01,0.98,1.51,-1.69,-0.005,,
0.02,-1.53,-0.16,2.23,0.011,,
0.03,-0.42,0.22,-1.99,0.005,,8982.868
0.04,0.39,0.53,0.19,-0.005,,
0.05,0.1,0.15,0.87,0,,
0.06,-0.12,0.68,-0.18,0.016,,
0.07,-1.3,-0.46,1.17,0.016,,
0.08,-0.94,-0.53,0.72,0,,
0.09,-0.2,-0.23,1.02,0.016,,
0.1,0.32,1.13,-1.47,-0.011,,
0.11,-0.57,0.45,-1.01,0.011,,
0.12,-0.49,1.66,-1.09,0.011,,
0.13,-1.45,-1.06,0.8,0.016,,
0.14,0.17,1.36,-1.39,0.005,,
0.15,0.02,-1.14,0.57,0.005,,
0.16,-0.42,-0.53,0.65,-0.005,,
0.17,0.91,-0.46,-2.67,0.005,,
0.18,-1.08,-0.23,1.93,0.005,,
0.19,0.32,-0.91,1.47,0.005,,
0.2,2.01,-1.59,-1.47,-0.005,,
0.21,-0.35,0.98,-1.77,0,,
0.22,-0.12,-3.56,-0.41,0.016,,
0.23,-0.94,2.04,-0.03,0.005,,
0.24,0.17,2.8,-0.41,0.005,,
0.25,1.65,0.53,-0.79,-0.011,,
0.26,0.02,3.02,-1.01,0.005,,
0.27,-3.44,1.66,-0.64,0.022,,
0.28,-1.67,-2.65,1.93,0.016,,
0.29,1.94,3.25,-0.79,0.011,,
0.3,0.91,-2.81,-1.31,0.005,,
0.31,1.13,-3.79,-1.09,-0.022,,
0.32,-0.05,-3.34,-1.09,-0.011,,
0.33,-0.27,-0.99,-2.22,0.005,,
0.34,1.79,0.37,-0.86,0.005,,
0.35,-1.97,0.6,2.15,0.011,,
0.36,1.79,1.74,-0.03,0,,
0.37,0.32,0,1.17,0.005,,
0.38,-0.35,2.19,-1.01,0.005,,
0.39,-0.42,1.21,-1.84,0.005,,
0.4,1.35,1.28,1.02,-0.005,,
0.41,1.57,-0.08,0.72,0.005,,
0.42,-2.19,2.12,-0.64,0.011,,
0.43,-1.01,-3.26,-0.94,0.016,,
0.44,0.98,1.89,1.02,-0.005,,
0.45,-0.35,0.53,1.93,0,,
0.46,0.83,0.9,0.65,0.005,,
0.47,0.69,1.96,-0.18,-0.005,,
0.48,-1.16,-1.22,1.4,0.022,,
0.49,-0.12,3.7,-0.86,0,,
0.5,-1.67,-1.29,2.23,0.011,,
0.51,0.83,-0.23,0.42,-0.011,,
0.52,0.32,0.75,-0.94,0.011,,
0.53,-1.23,-0.31,2.38,0.011,,
0.54,0.47,1.21,-1.31,0,,
0.55,-1.97,-2.35,2.83,0.027,,
0.56,-1.23,0.15,0.34,0,,
0.57,2.24,-0.61,-0.64,-0.011,,
0.58,1.42,-1.82,-0.79,0,,
0.59,-2.78,-0.08,-1.54,0.033,,
0.6,-1.89,-0.46,4.19,0.011,,
0.61,0.1,2.95,1.63,0.011,,
0.62,-0.79,3.1,1.17,0.011,,
0.63,1.72,1.59,-2.29,-0.016,,
0.64,-1.53,-0.23,0.27,0.011,,
0.65,2.9,0.6,-2.82,-0.011,,
0.66,-2.19,1.81,1.32,0.011,,
0.67,-0.57,-2.88,2.98,0.005,,
0.68,-0.2,0.68,0.57,0,,
0.69,-2.85,-1.82,0.8,0.011,,
0.7,0.39,-2.73,-1.01,0.011,,
0.71,0.17,1.28,-2.29,0,,
0.72,0.24,0.15,1.25,0,,
0.73,0.39,2.57,0.42,0.005,,
0.74,-2.19,1.21,1.47,0,,
0.75,1.72,-0.16,-1.69,-0.005,,
0.76,-2.34,1.28,0.72,0.011,,
0.77,1.5,-1.06,-0.79,0,,
0.78,0.17,-1.14,-0.56,-0.011,,
0.79,-3.22,1.59,2.45,0.022,,
0.8,2.38,-1.14,0.65,0,,
0.81,0.76,1.74,0.49,-0.011,,
0.82,-0.42,1.81,-2.29,0,,
0.83,0.02,-0.91,-0.49,0,,
0.84,0.47,0,-1.01,0.005,,
0.85,-1.97,2.49,0.65,0.016,,
0.86,1.42,-1.37,-0.03,-0.011,,
0.87,0.17,0,-0.18,-0.011,,
0.88,0.24,0.3,0.12,0.011,,
0.89,-0.27,-2.73,-1.47,0.005,,
0.9,-0.35,-1.37,-0.64,0.011,,
0.91,1.13,-0.69,1.32,-0.005,,
0.92,1.35,-0.08,-1.01,-0.016,,
0.93,0.17,0.37,0.95,-0.005,,
0.94,-0.12,0.53,-1.39,0.016,,
0.95,0.69,-1.67,-0.11,0.011,,
0.96,-2.12,1.59,0.72,0.011,,
0.97,1.2,-1.06,-0.79,-0.005,,
0.98,0.47,1.66,0.12,0,,
0.99,1.13,0.15,3.21,-0.005,,
1,-1.3,-0.69,-0.26,0.011,,
1.01,0.1,3.02,-3.43,-0.005,,
1.02,-0.12,-1.67,-0.41,-0.016,,
1.03,-0.64,-0.76,-0.64,0.016,,
1.04,0.83,2.42,-0.03,-0.011,,
1.05,1.35,-1.52,1.1,-0.005,,
1.06,-1.67,0.37,3.59,0.016,,
1.07,0.02,3.33,-4.41,0.011,,
1.08,1.13,-2.05,3.51,0,,
1.09,-0.57,1.43,1.55,0.011,,
1.1,-0.35,-1.52,-3.35,0.011,,
1.11,0.47,1.96,1.17,-0.005,,
1.12,-1.08,-1.59,4.87,0.011,,
1.13,-0.35,2.04,-2.07,0,,
1.14,0.32,-2.43,0.27,-0.005,,
1.15,-2.12,1.21,2.15,0.011,,
1.16,0.83,0.6,-2.67,0,,
1.17,0.17,3.25,-0.11,-0.011,,
1.18,-0.27,-1.29,4.94,0.005,,
1.19,0.69,2.19,-1.77,0.005,,
1.2,-0.94,1.59,-2.29,0.005,,
