"Time","X-Axis Acceleration","Y-Axis Acceleration","Z-Axis Acceleration","Force"
0.00,1.06,-0.57,1.32,-0.007
0.01,0.99,-0.19,-3.73,-0.007
0.02,0.69,-1.63,1.48,-0.012
0.03,-0.75,0.42,2.15,-0.001
0.04,-0.07,-1.40,-0.41,-0.007
0.05,1.14,0.64,2.53,-0.007
0.06,0.08,-2.08,-1.32,0.004
0.07,1.59,-0.72,-1.99,-0.001
0.08,-0.22,-2.76,-1.01,0.009
0.09,0.76,1.47,0.72,0.004
0.10,0.69,0.26,-0.94,-0.012
0.11,1.06,1.85,1.85,-0.007
0.12,-0.15,-1.25,-0.79,-0.007
0.13,1.75,-1.78,-0.71,-0.017
0.14,1.67,0.26,0.87,-0.007
0.15,-0.15,1.17,-1.62,-0.007
0.16,0.16,1.02,5.47,-0.001
0.17,-0.07,-4.27,-3.80,-0.001
0.18,1.82,5.26,1.10,-0.001
0.19,0.76,-1.93,-0.41,-0.012
0.20,0.84,2.08,1.17,-0.007
0.21,0.99,-1.17,-3.80,-0.022
0.22,-0.15,2.00,4.27,-0.001
0.23,-0.98,1.63,-2.60,0.004
0.24,1.90,-0.34,-1.09,-0.012
0.25,1.29,-2.00,-0.26,-0.007
0.26,0.61,0.34,1.78,-0.007
0.27,0.91,1.55,-1.01,0.009
0.28,0.31,0.79,1.02,0.004
0.29,-1.06,-0.57,2.30,0.004
0.30,0.31,-1.85,-0.94,-0.012
0.31,0.61,-0.79,-3.35,-0.017
0.32,0.23,0.04,2.23,-0.001
0.33,1.97,-0.42,3.21,-0.022
0.34,-0.83,1.10,-4.78,0.009
0.35,1.06,1.47,4.04,-0.007
0.36,-0.90,0.57,-0.26,0.004
0.37,-0.53,-0.19,2.46,-0.017
0.38,0.91,-0.34,-2.30,0.004
0.39,1.06,0.64,2.08,-0.017
0.40,-1.36,3.59,1.02,0.004
0.41,2.50,0.95,-3.58,-0.007
0.42,-1.66,0.49,-0.26,0.009
0.43,0.91,-3.06,-0.71,-0.007
0.44,-0.68,1.40,3.89,0.009
0.45,2.12,-1.63,-1.47,-0.017
0.46,1.14,1.63,0.27,-0.012
0.47,-0.45,-1.10,2.46,0.004
0.48,0.53,1.25,-2.14,-0.007
0.49,0.61,-0.34,0.12,-0.007
0.50,0.31,-1.47,-0.56,-0.012
0.51,-0.60,1.93,-1.69,-0.001
0.52,1.75,-2.84,4.27,-0.017
0.53,-0.98,-0.34,-2.75,0.009
0.54,-1.89,-2.08,2.61,0.009
0.55,4.09,3.14,-1.47,-0.022
0.56,2.35,0.57,1.55,-0.022
0.57,-2.34,0.87,-6.52,0.025
0.58,1.90,-1.10,1.48,-0.022
0.59,-3.40,-3.97,-3.50,0.019
0.60,1.52,1.55,3.89,-0.007
0.61,1.14,-1.17,-2.37,-0.012
0.62,1.97,0.57,2.68,-0.017
0.63,3.34,2.84,-0.64,-0.033
0.64,-2.42,-2.38,-7.42,0.019
0.65,-0.22,1.93,4.79,0.009
0.66,-0.83,0.11,-2.82,0.004
0.67,-1.06,-0.42,-0.26,-0.001
0.68,4.93,2.76,1.48,-0.038
0.69,0.00,-0.95,0.87,-0.001
0.70,-0.07,0.49,1.40,-0.001
0.71,-0.75,-0.04,-1.16,-0.001
0.72,-1.43,-0.87,0.12,0.014
0.73,-0.07,1.93,2.38,-0.007
0.74,0.69,-2.00,-4.93,-0.007
0.75,-0.07,0.95,3.96,-0.012
0.76,1.97,-1.70,-1.99,-0.017
0.77,-0.30,0.64,1.10,0.004
0.78,1.06,2.91,3.06,-0.028
0.79,-0.22,-1.70,-0.41,-0.012
0.80,-0.30,2.08,-1.69,-0.001
0.81,0.00,-1.47,-2.52,-0.012
0.82,0.69,-1.40,-0.18,-0.007
0.83,0.69,-1.47,5.10,-0.012
0.84,0.16,-2.76,-3.28,-0.028
0.85,0.53,5.26,6.00,-0.012
0.86,1.29,1.40,4.34,-0.007
0.87,-0.83,-6.01,-11.35,0.004
0.88,0.31,-0.79,6.98,0.004
0.89,0.53,-3.06,-8.10,0.004
0.90,1.22,4.20,12.11,-0.017
0.91,0.16,-1.63,-6.44,-0.007
0.92,1.52,1.63,-1.84,-0.022
0.93,2.73,-1.63,6.15,-0.012
0.94,-0.30,-2.00,-2.22,-0.007
0.95,1.52,0.19,-1.69,0.004
0.96,-2.42,0.57,3.13,0.025
0.97,2.58,-3.29,1.78,-0.017
0.98,1.97,-0.72,0.12,-0.017
0.99,1.44,-1.02,-1.24,-0.017
1.00,2.28,0.72,0.87,-0.017
1.01,-1.89,0.72,6.15,0.004
1.02,-0.37,-1.25,-6.44,0.004
1.03,-1.43,0.19,-0.56,0.014
1.04,-0.68,-1.32,3.59,0.009
1.05,1.44,-0.95,0.87,-0.007
1.06,1.90,-0.42,-3.65,-0.022
1.07,2.12,0.11,5.70,-0.012
1.08,1.37,0.26,2.23,-0.012
1.09,-0.45,0.57,-2.22,0.004
1.10,1.59,1.17,0.34,-0.001
1.11,0.00,-0.87,-4.41,-0.012
1.12,-0.83,2.16,4.34,0.004
1.13,-0.37,-0.95,-0.86,0.009
1.14,1.14,0.95,-2.67,-0.012
1.15,1.67,-0.72,0.57,-0.012
1.16,-0.15,1.02,2.83,-0.012
1.17,0.99,-1.78,-3.20,0.004
1.18,-0.22,1.02,0.57,-0.001
1.19,-0.30,-0.11,-5.01,-0.001
1.20,0.00,0.79,1.32,-0.007
1.21,-0.45,1.02,3.13,-0.007
1.22,0.31,-3.82,-4.86,-0.017
1.23,1.59,3.74,1.48,-0.007
1.24,0.84,-3.14,2.38,-0.017
1.25,-3.02,-0.11,-1.32,0.004
1.26,1.75,-1.10,-0.86,-0.007
1.27,2.35,2.91,-2.37,-0.007
1.28,-0.15,-1.47,4.42,-0.007
1.29,2.28,2.46,-3.65,-0.012
1.30,-0.68,0.19,-1.54,0.009
1.31,1.52,0.11,0.19,-0.017
1.32,-0.90,0.19,1.48,0.009
1.33,-1.43,-0.49,-2.90,0.004
1.34,-0.37,0.64,-0.18,-0.007
1.35,1.59,0.87,0.49,-0.007
1.36,1.90,-2.00,3.36,-0.007
1.37,1.67,-0.64,-0.49,-0.017
1.38,1.44,0.64,-2.37,-0.007
1.39,-0.37,0.49,3.44,-0.012
1.40,-1.43,3.89,-1.47,0.014
1.41,2.20,-2.84,-6.29,-0.017
1.42,-0.98,1.85,0.80,0.019
1.43,1.44,-2.00,1.48,-0.001
1.44,0.91,1.85,0.95,-0.001
1.45,-0.45,0.57,-3.58,0.004
1.46,0.08,-1.10,2.91,-0.007
1.47,0.91,1.02,-0.18,-0.012
1.48,-1.28,-0.57,-2.30,0.019
1.49,-0.83,0.42,3.06,-0.001
1.50,-0.15,-0.64,-0.71,0.004
1.51,1.22,-0.34,0.57,-0.022
1.52,0.84,0.72,-1.39,-0.017
1.53,0.69,1.32,2.91,-0.007
1.54,1.22,-3.44,0.04,-0.001
1.55,-3.17,-1.63,0.49,0.019
1.56,1.82,4.20,2.15,-0.012
1.57,2.88,-0.49,-1.84,-0.033
1.58,-0.45,2.31,0.80,0.009
1.59,1.44,0.57,1.93,-0.007
1.60,0.08,-0.64,-2.90,0.009
1.61,-1.89,0.04,2.15,0.019
1.62,1.97,0.34,1.10,-0.022
1.63,0.53,-1.47,-0.03,0.009
1.64,1.97,0.26,-0.64,-0.012
1.65,1.06,-1.10,0.27,-0.012
1.66,0.08,-0.26,-0.79,0.009
1.67,-0.75,-1.40,1.93,0.009
1.68,-0.30,0.11,-0.49,-0.007
1.69,-0.45,-0.34,-1.39,0.004
1.70,0.91,5.26,2.53,-0.017
1.71,2.73,-1.32,-0.86,-0.017
1.72,0.08,-0.79,-2.14,-0.017
1.73,0.76,0.19,-0.33,0.004
1.74,-2.12,-0.64,0.12,0.035
1.75,-0.53,2.31,-1.24,0.014
1.76,-0.15,-0.95,2.61,-0.007
1.77,0.84,-0.42,-4.26,-0.012
1.78,0.31,-0.34,-0.56,0.004
1.79,2.05,2.00,3.66,-0.007
1.80,-1.51,1.47,1.25,0.009
1.81,-0.07,0.42,-2.67,0.009
1.82,-1.36,0.34,2.30,0.004
1.83,1.22,-2.53,0.34,-0.007
1.84,0.69,1.02,-1.99,-0.017
1.85,0.00,-3.06,-0.64,0.004
1.86,1.29,1.55,-0.41,-0.001
1.87,-2.57,5.03,-2.37,0.014
1.88,-1.06,0.42,-0.94,0.004
1.89,-1.06,-0.79,3.44,0.009
1.90,-2.42,-5.26,-6.22,0.004
1.91,2.65,1.47,4.87,-0.012
1.92,0.23,4.05,2.00,0.004
1.93,1.22,-0.26,-0.11,-0.001
1.94,0.08,0.57,-1.62,0.009
1.95,-1.36,-3.14,-2.45,0.004
1.96,-1.51,-0.79,-0.33,0.014
1.97,-1.06,1.17,3.21,0.004
1.98,-1.21,-0.34,-0.11,0.004
1.99,-0.15,-0.49,-0.33,0.004
2.00,2.58,-0.04,-0.71,-0.017
2.01,-0.22,1.02,2.15,0.004
2.02,-0.68,-1.40,-1.39,0.014
2.03,0.08,0.64,2.08,0.009
2.04,-1.06,-0.95,-2.97,-0.001
2.05,0.91,0.57,2.08,0.004
2.06,0.31,-1.25,0.19,-0.001
2.07,0.31,-0.79,-3.12,-0.001
2.08,-0.07,0.19,1.63,0.009
2.09,-0.75,0.49,0.80,0.004
2.10,0.46,-0.19,-2.22,-0.007
2.11,1.22,1.85,2.15,-0.001
2.12,-0.53,-0.64,-0.56,0.004
2.13,1.29,-0.95,1.25,-0.022
2.14,-0.90,-0.72,-0.94,-0.001
2.15,0.38,0.42,1.25,-0.012
2.16,0.08,0.95,-0.03,-0.001
2.17,-3.10,2.00,-2.45,0.009
2.18,1.52,-1.02,0.34,-0.017
2.19,-1.36,-1.78,2.23,0.014
2.20,1.14,-0.79,-2.45,-0.007
2.21,-0.75,0.11,-0.86,0.004
2.22,-1.36,2.91,5.32,0.014
2.23,0.99,0.72,-1.69,-0.001
2.24,0.00,-0.87,-0.26,-0.007
2.25,0.31,-0.57,0.42,-0.012
2.26,-0.60,0.57,-1.77,0.004
2.27,0.08,0.79,0.95,-0.007
2.28,-0.68,0.64,1.17,0.004
2.29,-0.75,1.10,1.25,0.009
2.30,0.69,0.87,0.19,-0.017
2.31,-0.15,-0.49,-3.88,0.004
2.32,0.53,1.40,1.40,0.004
2.33,0.00,-0.87,0.04,-0.007
2.34,1.29,1.55,0.87,-0.007
2.35,-0.68,-0.04,-2.82,-0.007
2.36,-0.75,-1.02,2.08,-0.001
2.37,-0.07,0.49,-3.73,-0.012
2.38,-0.07,1.02,5.10,-0.012
2.39,-0.75,-1.25,-3.12,-0.007
2.40,-0.45,-0.26,-0.49,0.004
2.41,0.16,-0.95,-1.16,-0.001
2.42,-0.45,2.31,1.63,0.025
2.43,0.16,-0.72,-2.52,-0.001
2.44,-1.81,-0.57,3.44,0.025
2.45,0.16,-0.19,-1.69,-0.007
2.46,0.46,-0.11,0.19,-0.007
2.47,0.46,1.40,0.49,-0.012
2.48,0.53,2.08,-1.99,-0.001
2.49,-1.06,-1.02,0.57,0.014
2.50,-1.06,1.32,-0.41,0.004
2.51,0.08,-2.08,0.27,0.004
2.52,-0.68,0.04,-1.16,0.014
2.53,1.67,1.55,5.47,-0.007
2.54,-0.53,-0.34,-2.90,0.004
2.55,1.22,1.25,0.34,-0.022
2.56,-0.68,-0.42,0.19,-0.001
2.57,-0.53,0.42,2.83,0.009
2.58,-0.53,0.64,-0.11,0.004
2.59,0.61,-2.00,-2.14,-0.007
2.60,1.29,2.38,0.87,-0.012
2.61,-0.83,-0.26,0.12,0.009
2.62,0.91,1.93,-1.16,-0.001
2.63,0.61,-0.34,0.04,-0.007
2.64,-0.53,0.64,0.65,0.009
2.65,-0.53,0.11,-0.86,0.004
2.66,-0.30,0.34,-1.84,-0.001
