"Time","X-Axis Acceleration","Y-Axis Acceleration","Z-Axis Acceleration","Force"
0.00,-0.10,0.26,-0.74,-0.011
0.01,0.64,0.04,-0.22,0.038
0.02,-2.24,0.34,1.29,0.038
0.03,0.27,1.32,-0.37,-0.011
0.04,-0.32,-0.64,0.54,0.033
0.05,-2.02,1.78,0.31,0.022
0.06,0.34,1.63,-1.80,0.022
0.07,0.12,0.11,0.61,-0.017
0.08,-0.99,2.84,-0.97,0.027
0.09,-0.62,-0.57,-0.52,0.038
0.10,-0.32,0.64,-2.70,-0.017
0.11,-1.80,1.10,0.76,-0.017
0.12,0.49,-1.32,-0.67,0.027
0.13,1.52,-0.42,-1.88,0.027
0.14,-2.61,1.70,2.35,0.022
0.15,-1.13,0.79,-0.74,0.000
0.16,0.49,-2.16,-2.18,0.027
0.17,1.89,2.01,-0.22,0.033
0.18,-0.99,0.26,-0.59,-0.017
0.19,-0.91,-1.63,-1.57,-0.017
0.20,1.89,3.75,-2.70,0.033
0.21,-0.99,1.25,2.35,0.033
0.22,-0.84,2.54,-1.65,0.016
0.23,-2.46,4.20,-2.70,-0.006
0.24,-0.99,-1.40,4.38,0.043
0.25,1.08,-0.57,-1.50,0.022
0.26,2.19,-0.11,-3.76,0.033
0.27,-1.36,-1.93,0.61,0.000
0.28,0.41,-2.69,-1.65,0.038
0.29,0.05,0.11,-1.65,0.038
0.30,-0.03,1.63,-2.40,0.005
0.31,-0.54,-1.55,2.12,-0.017
0.32,0.56,2.99,-1.12,0.033
0.33,-1.80,2.69,0.84,0.043
0.34,-0.47,-2.16,-1.50,-0.017
0.35,-0.47,3.07,-1.50,-0.022
0.36,-0.77,2.46,0.01,0.038
0.37,1.82,-0.95,0.46,0.033
0.38,-1.58,2.99,-1.27,0.038
0.39,-0.99,-2.38,0.61,-0.022
0.40,0.19,2.16,0.08,0.027
0.41,-1.06,0.57,1.22,0.043
0.42,0.49,1.17,2.12,0.038
0.43,0.56,2.69,-1.35,-0.017
0.44,-1.87,-1.25,0.84,0.054
0.45,-1.58,2.61,-0.82,0.054
0.46,-0.84,-1.70,0.69,0.022
0.47,1.15,-0.04,0.61,-0.011
0.48,-0.77,1.25,-0.97,0.049
0.49,-2.90,0.11,1.06,0.049
0.50,2.11,-0.64,-1.05,-0.038
0.51,-3.72,-0.04,2.72,0.000
0.52,-0.25,-0.19,-0.97,0.043
0.53,2.85,0.34,-0.67,0.033
0.54,-2.54,-1.63,0.61,0.022
0.55,-2.90,1.55,-0.37,0.060
0.56,0.49,-0.34,0.54,-0.022
0.57,-1.95,3.75,1.14,0.060
0.58,-1.06,2.91,0.16,0.043
0.59,0.78,1.63,-3.01,0.000
0.60,0.41,0.11,0.91,0.054
0.61,1.67,0.57,-0.07,0.038
0.62,-2.76,4.05,-0.07,0.043
0.63,0.19,-3.22,2.87,-0.011
0.64,-0.99,-0.57,-0.07,-0.011
0.65,-1.36,-0.19,-1.57,0.049
0.66,-0.32,-2.08,-0.74,0.049
0.67,-0.69,0.04,-1.50,-0.006
0.68,0.05,0.42,-1.27,0.043
0.69,0.56,1.93,1.06,0.043
0.70,-2.54,3.52,0.08,0.060
0.71,-0.03,-1.48,0.99,-0.022
0.72,1.89,2.16,0.16,0.027
0.73,0.12,-1.10,-0.82,0.043
0.74,-1.87,0.11,1.37,0.043
0.75,-0.10,2.08,-1.35,-0.028
0.76,0.34,1.02,1.29,0.038
0.77,-0.91,0.26,0.16,0.027
0.78,-0.91,2.23,-2.86,-0.011
0.79,1.37,-0.34,-0.90,-0.028
0.80,-2.17,0.04,0.39,0.049
0.81,2.26,1.10,-0.52,0.038
0.82,-0.18,3.29,-0.74,0.038
0.83,-1.95,-2.38,3.33,0.000
0.84,1.67,2.01,-3.46,0.038
0.85,-0.54,-2.84,-0.29,0.054
0.86,-1.50,0.19,-0.29,-0.011
0.87,-0.99,0.49,-1.57,0.005
0.88,0.56,-0.49,0.39,-0.022
0.89,1.67,1.10,-0.74,0.033
0.90,-1.80,-0.64,0.08,0.065
0.91,-1.43,1.32,-2.48,0.022
0.92,-0.25,-1.40,-0.52,-0.022
0.93,2.19,1.10,-0.82,0.027
0.94,-4.31,1.48,3.70,0.065
0.95,-0.03,0.64,-0.44,-0.017
0.96,1.96,1.55,-2.10,-0.038
0.97,-1.36,2.16,0.16,0.043
0.98,-1.36,0.04,-3.84,0.049
0.99,-0.40,-0.04,-2.40,-0.022
1.00,-0.91,0.11,3.40,-0.017
1.01,-0.10,1.85,0.69,0.027
1.02,1.74,-1.78,1.44,0.033
1.03,-1.58,4.20,-2.25,0.082
1.04,-3.57,-0.11,1.89,0.060
1.05,-0.18,0.34,-1.57,0.049
1.06,2.04,-0.57,-0.14,0.033
