"Time","X-Axis Acceleration","Y-Axis Acceleration","Z-Axis Acceleration","Force"
0.00,-0.16,1.96,-1.39,0.005
0.01,-0.31,-0.84,0.50,-0.006
0.02,-0.60,0.75,0.20,-0.011
0.03,0.28,2.72,-1.23,0.005
0.04,-0.01,-0.31,0.05,0.011
0.05,0.28,-0.84,0.65,0.000
0.06,1.68,2.26,-1.54,0.000
0.07,0.65,0.67,2.31,0.000
0.08,-0.46,-0.99,-0.78,0.000
0.09,0.28,1.05,-1.61,-0.006
0.10,-0.16,0.82,-0.25,0.011
0.11,-1.19,0.44,-1.16,0.000
0.12,-1.12,-0.62,-1.61,0.016
0.13,-0.68,-0.31,-1.23,-0.006
0.14,-0.46,0.90,-0.10,0.011
0.15,-0.09,-0.84,0.05,0.000
0.16,-0.46,-1.22,-1.08,0.000
0.17,-1.34,0.29,-2.21,0.000
0.18,-0.83,0.29,0.57,0.000
0.19,-0.38,0.22,0.57,0.016
0.20,-0.68,0.29,-0.03,0.011
0.21,-0.60,0.37,-0.41,0.000
0.22,-0.24,1.35,-0.33,0.022
0.23,-0.83,1.43,-1.23,-0.006
0.24,-1.34,0.52,0.05,0.022
0.25,-0.24,0.67,-0.41,0.005
0.26,-0.68,0.37,0.12,0.000
0.27,-0.75,-0.62,0.05,0.005
0.28,-0.46,0.14,-0.33,-0.006
0.29,-1.05,1.13,-1.23,0.016
0.30,-1.56,0.14,-1.31,0.011
0.31,-0.68,0.22,-0.33,0.000
0.32,-0.01,0.75,-0.56,0.005
0.33,0.36,0.52,-0.86,0.011
0.34,0.95,0.44,0.05,0.005
0.35,0.21,0.22,0.27,-0.006
0.36,-0.53,0.90,-0.18,0.005
0.37,-0.38,1.66,0.50,0.000
0.38,-0.09,1.05,-0.25,0.000
0.39,0.87,0.44,1.10,-0.006
0.40,1.46,-0.09,1.63,-0.006
0.41,1.46,0.60,0.80,-0.006
0.42,1.09,0.52,-0.41,-0.006
0.43,0.43,0.52,-0.56,-0.006
0.44,0.95,0.67,-0.18,0.005
0.45,0.50,-0.16,-0.56,-0.006
0.46,0.28,0.22,0.42,0.005
0.47,0.43,1.43,0.57,0.005
0.48,-0.16,1.13,1.10,0.005
0.49,-0.24,1.20,0.27,0.000
0.50,1.02,0.29,0.73,-0.006
0.51,0.87,0.44,0.20,-0.017
0.52,0.87,0.75,-0.18,-0.006
0.53,1.02,-0.01,-0.03,-0.017
0.54,0.43,0.22,-0.56,0.005
0.55,-0.46,-0.39,-0.78,0.000
0.56,0.28,-0.77,-0.86,0.011
0.57,0.50,0.14,0.12,-0.011
0.58,-0.16,-0.31,-0.33,0.005
0.59,-0.31,-0.09,0.12,0.011
0.60,0.87,1.35,0.88,0.022
0.61,0.87,-0.16,0.27,-0.011
0.62,0.43,-0.31,-0.03,-0.006
0.63,0.72,0.82,-0.25,-0.017
0.64,0.21,-0.16,0.42,0.005
0.65,-0.16,0.07,-0.03,0.005
0.66,-0.16,0.75,-1.23,0.005
0.67,0.43,0.29,-2.21,0.000
0.68,-1.19,-0.01,-2.89,0.005
0.69,-1.56,0.22,0.73,0.005
0.70,-0.09,-0.31,-0.48,0.005
0.71,-0.09,-0.84,-1.31,0.000
0.72,2.05,-0.39,-0.03,-0.022
0.73,4.71,0.90,1.18,-0.028
0.74,2.86,0.14,-1.91,-0.022
0.75,0.58,-3.11,1.63,0.000
0.76,-1.86,1.13,-0.78,0.011
0.77,-1.64,1.35,-3.42,0.011
0.78,-2.52,-1.45,0.05,0.016
0.79,-2.08,0.44,-0.48,0.022
0.80,-0.68,1.50,-2.44,0.000
0.81,0.06,0.14,-1.23,0.000
0.82,0.43,-0.31,0.80,0.005
0.83,1.31,1.20,0.12,-0.011
0.84,0.36,-0.39,-0.93,0.011
0.85,0.36,-1.75,-0.33,0.000
0.86,1.61,-0.24,0.05,-0.017
0.87,1.09,-0.77,0.88,-0.011
0.88,0.87,-0.24,1.86,0.000
0.89,0.72,1.13,1.18,-0.011
0.90,-0.16,0.60,-0.48,0.011
0.91,-0.53,0.37,0.05,0.005
0.92,-0.31,1.43,-1.23,0.016
0.93,0.13,1.05,0.35,0.000
0.94,0.58,0.44,1.03,-0.006
0.95,0.65,0.82,0.42,0.011
0.96,1.31,0.14,2.53,-0.017
0.97,0.95,-0.46,2.23,0.000
0.98,0.58,0.14,0.80,0.011
0.99,1.24,-0.01,0.12,-0.006
1.00,0.58,0.29,1.10,0.005
1.01,-0.68,0.52,0.95,0.005
1.02,-0.60,-0.31,1.63,0.011
1.03,-0.75,0.82,-0.18,0.011
1.04,-0.68,2.41,0.73,0.005
1.05,1.76,1.13,2.23,-0.006
1.06,2.27,0.37,-1.23,0.000
1.07,2.20,-0.84,0.42,-0.017
1.08,1.90,1.81,0.50,-0.006
1.09,1.98,2.94,-2.37,-0.017
1.10,-0.83,-0.84,0.88,0.005
1.11,-0.75,-2.96,0.88,-0.006
1.12,0.28,2.34,0.35,0.011
1.13,-0.16,0.07,1.25,0.011
1.14,-1.19,-3.34,0.95,0.005
1.15,-0.38,2.49,1.18,0.016
1.16,0.36,3.70,-0.48,0.022
1.17,-1.12,0.67,-0.56,-0.017
1.18,-0.16,1.13,-0.93,0.005
1.19,1.90,0.44,1.10,-0.006
1.20,3.45,0.14,1.25,-0.006
1.21,1.31,-0.24,1.63,0.011
1.22,0.28,-0.99,0.42,0.005
1.23,-1.27,0.22,0.20,0.022
1.24,-1.49,0.82,-1.16,0.027
1.25,-0.75,-0.77,-1.23,0.016
1.26,-0.31,-0.31,-0.78,0.000
1.27,0.06,0.44,-1.54,0.005
1.28,0.58,-0.54,-1.39,0.000
1.29,1.61,1.05,0.73,-0.011
