"Time","X-Axis Acceleration","Y-Axis Acceleration","Z-Axis Acceleration","Force"
0.00,-1.09,-1.67,-2.64,0.020
0.01,-0.87,-0.46,2.04,0.004
0.02,0.12,-3.11,-2.34,-0.001
0.03,-0.34,0.22,1.36,-0.001
0.04,1.94,-1.82,0.15,-0.001
0.05,-0.79,-0.39,-2.11,-0.001
0.06,1.33,-0.46,0.83,-0.011
0.07,-1.09,-0.24,2.34,0.009
0.08,0.27,-0.77,-0.30,0.004
0.09,-2.15,-1.29,1.28,0.004
0.10,1.25,-0.16,-4.30,-0.011
0.11,-0.34,0.60,0.23,-0.001
0.12,0.95,0.97,2.34,0.004
0.13,0.50,-2.20,1.58,-0.011
0.14,0.27,0.97,2.79,0.004
0.15,-0.11,-0.31,-1.58,-0.001
0.16,0.88,1.05,0.00,-0.001
0.17,0.04,-1.52,0.83,0.004
0.18,-0.87,-0.16,3.32,0.004
0.19,-0.71,-1.90,-1.81,0.004
0.20,0.65,1.50,0.75,0.009
0.21,-0.18,-0.31,0.75,-0.011
0.22,-1.24,-0.46,-0.23,0.015
0.23,0.42,-1.07,4.45,0.015
0.24,0.35,0.37,-1.96,-0.006
0.25,-0.71,1.12,0.98,0.009
0.26,1.10,0.97,1.89,-0.001
0.27,-0.26,-0.01,1.36,-0.006
0.28,0.04,-1.14,-1.21,-0.001
0.29,-1.55,1.81,2.64,0.015
0.30,-0.56,-1.82,-1.81,-0.001
0.31,0.35,1.35,3.17,0.009
0.32,-0.34,-1.90,-3.54,-0.006
0.33,0.65,1.43,0.60,-0.001
0.34,-1.17,-0.46,-1.58,0.009
0.35,1.25,-1.45,-2.19,-0.011
0.36,-0.64,-1.37,3.62,0.004
0.37,-0.18,-0.61,2.26,0.004
0.38,-0.79,0.29,3.85,0.004
0.39,-1.40,1.50,-6.86,0.004
0.40,3.15,0.07,-3.54,-0.027
0.41,-0.87,0.14,2.11,0.020
0.42,2.09,-2.20,-1.58,-0.011
0.43,-2.30,0.97,0.60,0.009
0.44,-0.87,-1.82,-3.32,0.009
0.45,1.86,-1.07,2.71,0.004
0.46,-1.47,-0.69,-2.26,0.009
0.47,1.71,-2.50,-0.75,-0.006
0.48,-2.68,0.14,-1.06,0.020
0.49,1.33,-2.20,3.85,-0.011
0.50,-1.09,1.58,1.43,-0.001
0.51,-0.34,-0.92,-1.81,0.020
0.52,2.16,-0.09,0.45,-0.011
0.53,-0.03,3.09,-0.15,0.020
0.54,0.27,0.14,0.15,0.009
0.55,-2.46,1.65,-0.30,0.025
0.56,2.62,-3.34,0.90,-0.022
0.57,-2.61,0.67,0.83,0.025
0.58,2.24,-0.92,0.23,-0.022
0.59,-0.26,0.97,-2.26,0.015
0.60,-1.32,1.12,-0.60,-0.001
0.61,-1.40,0.97,-3.32,-0.001
0.62,-1.32,-0.31,2.71,0.009
0.63,1.10,-2.66,-0.30,-0.011
0.64,0.95,-1.52,2.34,0.004
0.65,-2.83,-2.43,-3.54,0.004
0.66,2.09,0.07,1.73,-0.011
0.67,-3.52,4.23,-2.26,0.015
0.68,-0.41,1.20,-3.70,0.009
0.69,2.31,4.30,-2.41,-0.006
0.70,-2.38,-4.70,5.28,0.020
0.71,-0.18,-1.45,3.02,0.015
0.72,-1.70,-3.34,-1.28,0.015
0.73,0.42,2.94,4.22,-0.006
0.74,-0.94,-0.09,-3.77,-0.001
0.75,1.03,1.12,-2.19,-0.011
0.76,-2.91,-3.64,-6.26,0.020
0.77,2.01,0.22,-2.41,-0.006
0.78,-1.70,0.90,3.39,0.009
0.79,0.88,-0.01,0.83,-0.006
0.80,-1.77,-2.35,1.51,0.009
0.81,-0.71,-3.56,-3.32,0.020
0.82,2.54,-1.37,-2.26,-0.017
0.83,-0.49,-0.84,1.43,0.004
0.84,-0.41,-0.31,1.36,0.009
0.85,0.65,-3.03,1.36,-0.006
0.86,-2.46,-1.60,-2.71,0.020
0.87,1.33,0.22,-0.45,-0.022
0.88,-0.87,1.43,1.58,0.009
0.89,0.35,-1.98,1.89,-0.001
0.90,-1.77,-1.67,-4.75,0.020
0.91,-2.91,-3.64,2.04,0.020
0.92,1.41,1.05,3.32,-0.001
0.93,-1.24,-0.84,-1.51,0.009
0.94,0.88,-2.28,-2.71,-0.006
0.95,0.04,-1.75,2.79,-0.011
0.96,-0.56,-2.88,1.66,0.004
0.97,0.50,3.85,1.13,0.004
0.98,-0.87,3.77,4.45,-0.001
0.99,-2.08,0.75,-7.16,0.004
1.00,-1.02,-2.50,3.02,0.004
1.01,0.19,-3.19,2.79,0.009
1.02,0.88,-0.69,1.81,-0.006
1.03,-1.40,4.00,1.06,-0.001
1.04,3.53,6.80,7.32,-0.027
1.05,-3.14,-0.69,-10.71,0.015
1.06,1.48,-2.20,5.13,0.004
1.07,-0.03,0.90,-4.15,0.015
1.08,0.57,3.17,11.24,0.004
1.09,-1.32,3.54,-8.60,0.004
1.10,0.35,-2.50,3.39,-0.001
1.11,-1.32,-2.13,-4.45,0.004
1.12,0.57,-0.31,4.15,-0.006
1.13,-2.00,-1.07,-3.70,0.009
1.14,0.35,2.94,7.09,-0.011
1.15,0.57,-0.24,-6.64,-0.017
1.16,2.24,4.15,0.98,-0.006
1.17,0.42,1.12,-3.54,-0.001
1.18,-1.70,3.47,1.06,0.009
1.19,-1.32,-1.98,-5.58,0.015
1.20,-3.06,-0.99,0.15,0.030
1.21,-1.40,-0.09,1.89,0.009
1.22,0.65,0.75,0.23,0.004
1.23,-0.71,2.26,-1.13,0.015
1.24,-0.11,1.58,-3.47,-0.011
1.25,-1.62,-0.31,-3.39,0.020
1.26,-1.93,1.35,0.68,0.015
