"Time","X-Axis Acceleration","Y-Axis Acceleration","Z-Axis Acceleration","Force"
0.00,-3.05,1.17,4.03,0.019
0.01,-0.78,-1.78,-1.03,-0.007
0.02,0.59,3.89,1.39,-0.002
0.03,0.51,-1.17,0.41,-0.002
0.04,1.95,-1.40,-3.97,-0.012
0.05,-0.17,4.65,3.72,-0.012
0.06,-1.53,-3.89,-4.42,0.004
0.07,-0.09,1.55,3.95,0.004
0.08,-4.49,0.42,2.82,0.019
0.09,1.50,-3.52,-3.06,0.014
0.10,-1.15,2.99,5.23,-0.007
0.11,-1.46,-0.57,-1.25,0.014
0.12,2.10,2.68,-1.18,-0.002
0.13,-1.68,-2.00,-1.03,0.009
0.14,2.86,-1.32,-4.27,-0.017
0.15,-1.53,4.35,5.99,0.009
0.16,0.81,-7.45,-2.23,0.004
0.17,0.97,-0.34,-2.08,-0.012
0.18,-4.18,3.29,8.10,0.024
0.19,1.19,-0.72,-5.78,0.004
0.20,0.28,1.63,1.23,-0.002
0.21,-0.32,2.53,-0.88,-0.002
0.22,1.95,-2.31,-5.70,-0.012
0.23,-1.00,3.89,0.78,0.009
0.24,-0.40,1.25,2.37,-0.007
0.25,-2.52,-2.61,-2.54,0.004
0.26,0.44,1.32,-0.42,-0.002
0.27,-0.85,-2.91,2.22,0.009
0.28,0.36,-2.61,-6.46,-0.012
0.29,0.59,4.42,3.20,0.014
0.30,-1.76,2.91,1.69,0.014
0.31,1.50,-0.87,-5.48,-0.002
0.32,-1.53,-1.02,-0.95,0.009
0.33,0.44,2.68,1.31,0.004
0.34,-1.15,-1.32,-4.65,0.019
0.35,-0.25,-0.72,3.65,0.004
0.36,0.06,-1.17,-0.50,-0.002
0.37,-1.99,-0.72,1.91,0.014
0.38,0.74,2.08,-0.58,-0.002
0.39,-0.17,-0.19,0.41,-0.002
0.40,0.36,0.64,0.25,-0.002
0.41,-1.08,1.32,1.84,0.009
0.42,-0.17,-5.33,-7.59,0.004
0.43,0.28,1.32,1.31,-0.012
0.44,-1.61,-0.49,4.93,0.014
0.45,0.51,-2.61,-3.14,-0.002
0.46,-0.55,4.05,2.44,0.009
0.47,-0.25,-0.04,1.76,0.009
0.48,0.06,-5.10,-5.18,0.009
0.49,0.06,5.41,2.22,0.009
0.50,-2.06,1.47,3.20,0.009
0.51,1.50,-6.92,-7.51,-0.002
0.52,1.80,4.80,2.14,-0.002
0.53,-1.76,-2.08,2.37,0.004
0.54,1.95,-3.52,-6.38,-0.012
0.55,-0.55,8.20,6.74,0.004
0.56,-1.84,-4.95,-3.21,0.014
0.57,1.12,-2.00,-3.52,0.004
0.58,-1.31,3.59,4.10,0.004
0.59,-0.40,-4.12,-1.18,0.014
0.60,-0.09,4.50,0.03,-0.002
0.61,-1.15,-2.46,3.80,0.004
0.62,-0.09,-5.33,-5.02,-0.002
0.63,-0.78,7.52,1.39,0.009
0.64,-1.53,-2.53,2.82,-0.002
0.65,0.51,-2.23,-5.78,0.004
