Time,X-Axis Acceleration,Y-Axis Acceleration,Z-Axis Acceleration,Force,Pressure
0.00,3.02,-0.68,-5.80,-0.008,23
0.01,-0.99,-1.13,1.29,0.002,23
0.02,-1.67,0.00,2.34,0.008,23
0.03,2.19,0.08,-4.82,-0.008,23
0.04,0.22,-0.60,2.04,0.002,23
0.05,-0.99,-0.53,1.89,0.013,23
0.06,1.06,0.08,-3.62,-0.003,23
0.07,-0.99,-0.23,0.00,-0.003,23
0.08,0.83,-0.38,-0.15,-0.008,23
0.09,-2.05,0.60,1.06,0.013,23
0.10,-0.23,1.13,0.91,-0.008,23
0.11,2.27,1.36,-1.58,-0.019,23
0.12,0.07,0.68,1.81,-0.008,23
0.13,-0.23,1.59,-1.88,0.002,23
0.14,-1.29,-0.53,-3.01,0.013,23
0.15,-0.76,-0.23,3.25,0.008,23
0.16,1.13,1.36,-0.75,-0.013,23
0.17,0.83,-1.36,0.16,-0.003,23
0.18,0.22,-1.06,2.42,-0.013,23
0.19,-1.90,1.44,0.91,0.008,23
0.20,-1.52,0.15,-1.43,0.013,23
0.21,1.36,-1.29,-1.35,-0.003,23
0.22,-2.58,1.29,3.85,0.013,23
0.23,1.96,-0.68,0.53,-0.003,23
0.24,2.04,-1.36,-1.88,-0.013,23
0.25,-3.79,1.44,4.76,0.023,23
0.26,0.15,0.23,-4.07,0.008,23
0.27,0.53,-0.91,-0.22,-0.008,23
0.28,-2.05,2.04,7.09,0.013,23
0.29,1.21,0.45,-4.52,-0.008,23
0.30,0.30,1.36,1.14,0.002,23
0.31,-0.91,1.51,2.19,-0.003,23
0.32,-2.12,0.53,-2.56,0.002,23
0.33,1.59,-0.08,-2.41,-0.013,23
0.34,0.60,-0.83,0.08,-0.008,23
0.35,-2.50,-0.23,3.62,0.002,23
0.36,3.63,-0.15,-5.12,-0.019,23
0.37,-0.69,-0.83,-0.22,-0.003,23
0.38,-4.85,-1.51,6.87,0.023,23
0.39,3.17,0.00,-6.10,-0.008,23
0.40,2.87,1.97,-1.13,-0.024,23
0.41,-2.43,-0.23,4.83,0.018,23
0.42,0.15,-0.98,-5.27,0.002,23
0.43,0.30,1.74,-0.75,-0.008,23
0.44,-2.73,2.42,4.38,0.023,23
0.45,2.49,-1.29,-4.75,-0.013,23
0.46,1.51,0.08,-0.60,-0.013,23
0.47,0.00,2.65,1.51,-0.003,23
0.48,-1.90,-0.15,-1.05,0.018,23
0.49,-1.44,-1.66,0.76,0.018,23
0.50,0.15,0.00,0.38,0.008,23
0.51,-1.22,-0.76,0.91,0.008,23
0.52,0.68,-0.38,-1.35,-0.003,23
0.53,1.06,1.13,-0.90,-0.008,23
0.54,-1.29,1.06,3.85,0.008,23
0.55,0.45,-1.44,-1.35,0.002,23
0.56,-0.53,-0.23,-0.45,0.008,23
0.57,-1.06,0.53,1.97,0.013,23
0.58,2.72,-1.97,-0.37,-0.008,23
0.59,-0.31,-0.23,1.66,0.002,23
0.60,-1.29,0.60,1.74,0.008,23
0.61,-0.91,0.68,-0.98,0.008,23
0.62,-0.16,1.21,0.91,-0.003,23
0.63,1.81,1.89,-0.60,-0.008,23
0.64,-1.22,1.59,0.61,0.008,23
0.65,-0.91,0.30,0.68,-0.013,23
0.66,1.43,1.13,-1.28,-0.013,23
0.67,-1.37,1.21,1.06,0.008,23
0.68,0.37,0.15,-1.43,-0.019,23
0.69,1.74,-1.21,-3.69,-0.013,23
0.70,-2.73,-1.29,3.55,0.008,23
0.71,-2.20,-0.30,0.68,0.023,23
0.72,0.60,-0.15,-3.01,0.002,23
0.73,0.30,1.81,2.12,-0.008,23
0.74,-0.69,1.51,4.00,-0.008,23
0.75,1.21,-0.98,-2.94,-0.003,23
0.76,0.60,-0.08,0.23,-0.019,23
0.77,-2.58,1.13,0.68,0.018,23
0.78,0.15,-1.13,-2.79,-0.013,23
0.79,-1.06,0.68,3.78,0.008,23
0.80,-1.90,1.89,0.00,0.013,23
0.81,1.43,0.91,-0.30,0.002,23
0.82,1.43,1.21,0.68,-0.013,23
0.83,-2.20,-2.19,-3.99,0.013,23
0.84,-1.59,-0.53,0.46,0.002,23
0.85,-0.99,0.83,-0.07,0.018,23
0.86,1.59,0.76,2.64,-0.008,23
0.87,0.98,-2.04,2.87,-0.008,23
0.88,1.21,0.23,-2.03,0.002,23
0.89,-0.46,5.22,-0.75,-0.003,23
0.90,-1.52,3.48,0.31,-0.013,23
0.91,0.45,-3.25,-0.60,0.002,23
0.92,0.00,0.08,0.46,-0.003,23
0.93,0.15,0.98,-0.45,-0.003,23
0.94,-1.29,-2.12,3.32,0.008,23
0.95,-0.23,0.15,-0.60,-0.003,23
0.96,1.81,1.36,-2.11,-0.013,23
0.97,-1.37,-0.98,-0.30,0.013,23
0.98,0.98,1.51,-1.05,-0.003,23
0.99,2.57,-0.30,-0.82,-0.013,23
1.00,-2.20,0.68,2.42,0.018,23
1.01,-2.35,-0.23,-0.52,0.008,23
1.02,-0.61,-1.06,-1.20,0.002,23
1.03,1.21,-2.95,4.23,-0.003,23
1.04,0.15,0.68,0.31,0.013,23
1.05,-0.31,3.18,-3.01,-0.003,23
1.06,-1.75,-0.23,0.08,0.002,23
1.07,-0.99,2.50,2.27,0.002,23
1.08,-0.16,0.45,-4.29,0.002,23
1.09,0.68,-3.55,1.21,-0.008,23
1.10,0.68,-1.66,1.97,-0.003,23
1.11,-1.67,1.06,0.23,0.013,23
1.12,0.37,1.89,0.61,0.002,23
1.13,0.15,-0.38,-2.48,-0.013,23
1.14,-0.61,0.98,2.57,0.008,23
1.15,1.59,2.27,-1.13,-0.019,23
1.16,-4.55,2.12,-0.90,0.013,23
1.17,-1.14,0.08,2.49,0.018,23
1.18,5.82,-2.57,-4.37,-0.019,23
1.19,-0.23,1.66,0.53,-0.008,23
1.20,-2.96,-2.42,0.91,0.023,23
1.21,-0.16,-2.72,-5.35,0.002,23
1.22,-2.88,2.12,3.93,0.008,23
1.23,4.39,-1.29,0.46,-0.024,23
1.24,2.80,-0.83,-4.60,-0.013,23
1.25,-4.24,3.86,5.51,0.023,23
1.26,-0.76,2.19,-1.81,0.008,23
1.27,-2.50,1.06,-3.16,0.002,23
1.28,-0.61,1.51,4.68,-0.003,23
1.29,5.75,0.23,-1.65,-0.034,23
1.30,-3.94,0.60,2.04,0.018,23
1.31,-3.26,-0.45,0.83,0.018,23
1.32,0.53,0.53,-2.18,0.002,23
1.33,1.81,0.60,3.10,-0.008,23
1.34,0.22,-3.63,0.99,0.002,23
1.35,-0.76,-2.04,-2.18,0.002,23
1.36,-1.97,-0.91,-1.28,0.008,23
1.37,-0.16,-0.76,-1.65,-0.003,23
1.38,-1.37,1.89,2.64,0.002,23
1.39,2.42,0.53,0.53,-0.019,23
1.40,-0.31,3.10,1.59,0.013,23
1.41,-1.59,0.30,-0.75,0.002,23
1.42,2.95,-0.83,-0.82,-0.029,23
1.43,-1.29,2.42,-1.50,-0.003,23
1.44,-1.44,1.36,-0.98,-0.008,23
1.45,1.36,-3.63,-1.50,-0.019,23
1.46,-1.14,0.30,2.42,0.013,23
1.47,-0.91,1.89,-1.20,-0.013,23
1.48,0.37,-0.68,-1.58,-0.003,23
1.49,1.28,2.50,1.66,-0.008,23
1.50,-1.59,2.27,-2.71,-0.013,23
1.51,1.28,-1.44,-2.03,-0.003,23
1.52,0.07,-0.30,0.08,-0.003,23
1.53,-1.97,1.66,-1.58,-0.003,23
1.54,1.59,-0.60,0.23,-0.013,23
1.55,-0.38,-0.60,1.36,-0.003,23
1.56,-1.22,-1.21,0.61,0.018,23
1.57,-0.38,1.06,-1.28,-0.008,23
1.58,-0.23,0.60,-0.67,-0.013,23
1.59,-0.69,-0.98,-0.82,-0.003,23
1.60,0.22,0.23,0.53,0.002,23
1.61,0.60,-0.23,0.16,-0.008,23
1.62,-1.97,0.76,2.57,0.008,23
1.63,-1.59,0.98,-2.63,0.008,23
1.64,1.51,2.12,-1.28,-0.003,23
1.65,0.98,1.29,1.74,-0.013,23
1.66,-1.37,1.51,1.29,0.002,23
1.67,0.83,0.00,0.16,-0.013,23
1.68,-2.35,-0.30,1.21,0.013,23
1.69,-1.67,1.21,1.06,0.013,23
1.70,4.54,-1.21,-0.98,-0.024,23
1.71,-2.35,0.53,1.14,0.013,23
1.72,-1.67,0.91,1.21,0.008,23
1.73,1.06,-1.51,-5.58,-0.013,23
1.74,-3.79,0.30,2.80,0.023,23
1.75,-0.08,-1.36,1.59,-0.003,23
1.76,1.51,-0.38,-1.81,-0.003,23
1.77,-2.35,1.36,3.78,0.008,23
1.78,0.68,1.74,-0.98,-0.008,23
1.79,-0.23,0.60,-0.82,-0.008,23
1.80,-0.53,0.23,2.42,-0.008,23
1.81,-1.22,0.08,-0.30,0.013,23
1.82,-0.69,-0.83,2.49,0.002,23
1.83,0.00,1.59,0.83,0.008,23
1.84,-0.61,0.68,0.53,0.008,23
1.85,0.37,1.21,2.95,-0.003,23
1.86,0.45,-0.23,-3.77,-0.008,23
1.87,-2.88,-0.83,0.00,0.018,23
1.88,0.68,1.36,0.68,0.013,23
1.89,1.21,0.45,-1.73,-0.013,23
1.90,-1.90,-1.29,1.74,0.013,23
1.91,-0.46,-0.53,-1.88,0.018,23
1.92,1.36,1.44,-2.26,-0.003,23
1.93,-2.12,2.87,1.21,0.002,23
1.94,4.54,-0.91,-3.01,-0.039,23
1.95,-0.38,-2.57,-0.67,-0.013,23
1.96,-3.03,1.97,2.95,0.013,23
1.97,1.89,2.65,-4.75,-0.013,23
1.98,-1.90,0.00,3.32,0.013,23
1.99,0.98,-1.44,0.99,-0.003,23
2.00,2.49,-0.38,-6.56,-0.024,23
2.01,-2.05,0.91,2.42,0.008,23
2.02,-0.16,-2.72,-1.43,-0.003,23
2.03,-2.58,-0.60,-1.73,0.018,23
2.04,0.60,1.81,3.93,-0.013,23
2.05,2.64,0.76,-0.22,-0.013,23
2.06,-1.97,1.51,-0.75,0.002,23
2.07,1.43,1.51,-1.81,-0.013,23
2.08,-0.53,-0.15,1.29,0.008,23
2.09,-3.41,-2.80,1.21,0.034,23
2.10,2.57,-0.38,-2.41,-0.019,23
2.11,-0.91,2.65,1.97,0.008,23
2.12,-1.90,-0.68,3.40,0.013,23
2.13,2.87,-1.66,-3.54,-0.013,23
2.14,-1.75,0.83,0.83,0.013,23
2.15,-1.44,-0.45,2.80,0.002,23
2.16,1.81,0.76,-4.75,-0.003,23
2.17,-1.52,3.78,0.68,0.002,23
2.18,-2.81,0.30,4.68,0.002,23
2.19,1.74,-1.06,-1.28,0.002,23
2.20,0.68,2.19,-1.05,-0.008,23
2.21,-0.38,1.13,0.83,-0.013,23
2.22,1.36,-1.36,-1.96,-0.019,23
2.23,-1.67,0.08,1.51,0.008,23
2.24,-2.58,1.66,1.44,0.008,23
2.25,0.30,0.98,-0.37,0.002,23
