Time,X-Axis Acceleration,Y-Axis Acceleration,Z-Axis Acceleration,Force,Pressure
0.00,-0.99,2.00,0.96,0.007,32
0.01,-1.80,0.18,0.43,0.012,32
0.02,-1.65,0.26,-0.10,0.012,32
0.03,-0.03,1.32,0.65,0.001,32
0.04,0.64,-0.80,0.58,-0.010,32
0.05,0.86,-1.03,-0.02,-0.004,32
0.06,1.15,-0.42,0.28,-0.021,32
0.07,0.78,0.49,-0.02,-0.010,32
0.08,0.19,0.34,0.73,-0.010,32
0.09,-0.99,0.41,0.73,0.007,32
0.10,-1.72,1.85,0.58,0.012,32
0.11,-0.84,0.56,1.86,0.012,32
0.12,-1.36,-1.48,-0.63,0.007,32
0.13,-2.68,1.70,-1.46,0.001,32
0.14,-0.10,2.61,1.11,-0.015,32
0.15,-0.54,-0.19,0.65,0.001,32
0.16,-0.18,0.26,1.48,-0.021,32
0.17,2.04,0.79,1.71,-0.021,32
0.18,1.74,-1.71,0.05,-0.021,32
0.19,0.05,-1.10,2.09,0.001,32
0.20,-0.10,1.85,-0.55,0.007,32
0.21,-0.10,2.38,-1.76,0.001,32
0.22,-1.65,-0.35,0.20,0.012,32
0.23,-0.99,-0.57,0.20,-0.004,32
0.24,-0.91,2.68,0.13,0.023,32
0.25,-1.13,-1.18,3.44,0.012,32
0.26,-1.65,-1.18,-0.78,-0.004,32
0.27,-0.84,2.68,-2.06,0.001,32
0.28,0.05,1.02,1.11,0.007,32
0.29,-1.21,0.26,0.05,-0.004,32
0.30,-0.10,2.15,0.05,-0.004,32
0.31,0.93,-1.86,3.07,0.001,32
0.32,0.49,-0.19,0.58,-0.010,32
0.33,0.19,1.47,0.50,0.001,32
0.34,-0.18,-0.19,1.33,-0.010,32
0.35,-1.36,1.24,-1.15,0.012,32
0.36,-1.13,-0.95,0.50,0.007,32
0.37,-1.21,-2.09,-1.61,0.012,32
0.38,0.27,1.77,-1.08,-0.004,32
0.39,-0.03,1.55,-1.98,0.001,32
0.40,-0.40,-2.77,-0.33,-0.010,32
0.41,-0.10,0.71,-0.33,0.012,32
0.42,0.19,1.40,-2.59,-0.010,32
0.43,-0.54,-1.18,0.65,-0.004,32
0.44,-1.50,-0.72,0.65,0.007,32
0.45,-1.80,0.18,-0.63,-0.004,32
0.46,-1.43,-0.19,0.35,-0.004,32
0.47,-0.84,-1.33,-0.48,0.007,32
0.48,0.27,-0.27,-0.33,-0.004,32
0.49,0.27,0.64,-1.83,0.001,32
0.50,-0.10,-0.12,-0.78,-0.004,32
0.51,-0.69,0.87,-0.33,0.001,32
0.52,-1.21,0.64,1.18,0.012,32
0.53,-1.13,-0.19,0.58,-0.004,32
0.54,-1.36,-1.86,-0.93,0.012,32
0.55,-0.03,-1.18,1.03,-0.004,32
0.56,1.08,1.77,0.73,0.001,32
0.57,0.41,0.87,-1.53,0.007,32
0.58,0.12,-0.80,0.28,-0.004,32
0.59,0.64,0.18,-0.85,-0.004,32
0.60,0.34,0.41,0.13,-0.004,32
0.61,-0.25,-0.72,1.63,-0.004,32
0.62,-1.80,-0.88,0.88,0.017,32
0.63,-1.21,0.26,-0.40,-0.010,32
0.64,-0.91,1.02,0.13,0.001,32
0.65,-1.58,2.46,0.35,0.007,32
0.66,-0.77,0.11,1.11,0.007,32
0.67,-0.25,-1.03,1.03,0.001,32
0.68,0.86,1.09,0.50,-0.004,32
0.69,1.52,-1.10,1.63,-0.004,32
0.70,1.37,-0.95,-0.48,-0.010,32
0.71,-0.10,0.79,-0.63,0.001,32
0.72,-2.02,-0.42,-1.08,0.012,32
0.73,-0.77,-0.27,1.94,0.007,32
0.74,-0.25,1.40,-0.63,-0.004,32
0.75,-0.69,-0.19,-2.36,-0.004,32
0.76,0.12,0.03,0.81,0.001,32
0.77,-0.54,2.30,1.18,0.012,32
0.78,-1.43,1.70,-1.15,0.012,32
0.79,-0.69,-2.39,0.05,0.001,32
0.80,-0.77,-0.35,-0.93,0.001,32
0.81,0.34,1.62,0.58,-0.010,32
0.82,-1.06,-1.10,0.20,-0.010,32
0.83,-1.13,0.94,0.81,0.001,32
0.84,0.12,1.85,0.65,0.001,32
0.85,-0.69,-1.03,-0.17,0.012,32
0.86,-1.06,1.02,0.73,0.012,32
0.87,-0.47,0.26,-0.93,-0.004,32
0.88,-0.62,-0.72,-0.70,0.001,32
0.89,-0.10,0.41,-0.10,0.007,32
0.90,0.05,-0.95,0.43,0.007,32
0.91,-0.69,1.40,-0.70,0.012,32
0.92,-0.54,2.23,-0.10,0.001,32
0.93,-0.32,-1.71,1.48,-0.004,32
0.94,0.34,0.49,0.73,0.001,32
0.95,0.64,2.15,-0.48,-0.004,32
0.96,0.34,-1.48,1.26,-0.010,32
0.97,0.64,-0.50,0.13,-0.010,32
0.98,0.49,1.40,-0.63,0.012,32
0.99,-0.47,0.18,0.28,-0.021,32
1.00,-1.36,-0.27,-0.02,-0.004,32
1.01,-1.65,0.11,-0.40,0.012,32
1.02,-0.62,-0.80,1.18,0.007,32
1.03,1.15,0.03,0.58,-0.021,32
1.04,0.05,0.94,-0.48,-0.004,32
1.05,0.05,0.41,0.35,0.007,32
1.06,0.34,-0.12,-0.63,-0.010,32
1.07,-0.32,1.09,-2.13,0.001,32
1.08,-1.28,-1.63,-0.55,0.012,32
1.09,0.19,-0.95,2.24,-0.004,32
1.10,-0.18,2.76,-1.08,-0.015,32
1.11,-1.43,0.41,0.50,-0.004,32
1.12,-0.54,0.18,1.03,-0.010,32
1.13,0.41,2.46,-2.51,0.007,32
1.14,-0.18,-0.95,3.97,-0.004,32
1.15,-0.40,-2.92,1.94,0.001,32
1.16,0.34,0.94,-1.53,-0.010,32
1.17,0.71,1.02,1.26,-0.010,32
1.18,1.15,0.26,-0.85,-0.010,32
1.19,-0.03,1.02,-1.76,0.001,32
1.20,-1.65,-0.88,0.88,0.012,32
1.21,-0.69,-1.18,0.88,0.001,32
1.22,-0.77,1.70,-1.76,0.001,32
1.23,1.15,0.87,0.43,-0.010,32
1.24,1.30,0.18,0.28,-0.010,32
1.25,-0.91,0.11,-1.31,-0.010,32
1.26,-1.58,-0.35,-0.63,-0.004,32
1.27,-1.06,0.11,0.43,0.001,32
1.28,-0.91,1.47,-1.46,-0.004,32
1.29,-0.54,-1.56,-0.78,0.012,32
1.30,0.19,-1.71,0.50,0.001,32
1.31,2.19,2.68,0.58,-0.010,32
1.32,-0.03,0.64,0.58,-0.004,32
1.33,0.78,-1.63,1.33,-0.010,32
1.34,1.37,0.64,0.35,-0.015,32
1.35,0.86,-0.72,-0.25,-0.015,32
1.36,0.78,-0.35,1.71,0.001,32
1.37,0.05,1.17,-1.23,0.001,32
1.38,-0.62,0.11,-0.33,0.001,32
1.39,-0.03,-0.72,2.54,-0.010,32
1.40,-0.03,0.18,-1.23,0.001,32
1.41,-0.47,0.94,-1.31,-0.004,32
1.42,-0.25,-0.12,0.50,0.007,32
1.43,0.27,-0.65,0.05,-0.004,32
1.44,0.19,-0.50,-0.25,-0.004,32
1.45,0.64,-0.95,-0.02,-0.010,32
1.46,0.86,1.55,1.11,-0.010,32
1.47,0.27,2.46,-0.93,-0.010,32
1.48,-0.69,-1.18,1.26,0.007,32
1.49,-0.18,-1.10,-0.10,0.001,32
1.50,1.37,-2.16,0.50,-0.021,32
1.51,1.08,-1.10,-1.00,-0.021,32
1.52,2.41,1.32,-0.17,-0.021,32
1.53,2.19,-0.04,-1.15,-0.021,32
1.54,0.71,0.03,0.50,0.001,32
1.55,-0.69,-0.65,-2.13,0.001,32
1.56,-1.87,-1.94,-0.33,0.007,32
1.57,0.05,2.23,1.33,-0.004,32
1.58,-0.03,1.47,0.58,-0.004,32
1.59,-0.25,0.11,1.03,0.001,32
1.60,1.23,1.55,-1.15,-0.015,32
1.61,0.71,-0.80,0.65,-0.032,32
1.62,-0.99,-1.41,0.43,0.007,32
1.63,-0.10,-1.33,-0.63,0.007,32
1.64,1.01,0.18,1.41,-0.004,32
1.65,0.64,1.55,-3.04,-0.004,32
1.66,0.41,-0.57,1.33,-0.015,32
1.67,0.78,2.00,1.26,-0.010,32
1.68,1.15,2.00,-1.61,-0.015,32
1.69,0.05,-3.00,2.69,0.007,32
1.70,1.82,0.94,1.56,-0.015,32
1.71,1.82,2.30,0.20,-0.004,32
1.72,-0.25,-3.98,1.03,-0.015,32
1.73,0.78,0.11,0.88,0.007,32
1.74,1.23,1.93,-1.15,-0.015,32
1.75,-0.84,-2.84,-0.70,-0.015,32
1.76,-0.32,0.49,-0.70,-0.010,32
1.77,0.34,3.82,-2.29,-0.004,32
1.78,-0.99,0.03,1.48,-0.004,32
1.79,-1.80,-1.86,0.28,0.012,32
