Time,X-Axis Acceleration,Y-Axis Acceleration,Z-Axis Acceleration,Force,Pressure
0.00,-1.65,5.70,0.59,0.011,30
0.01,0.32,-1.93,-0.39,-0.005,30
0.02,0.54,-1.78,-2.96,0.000,30
0.03,-0.52,3.89,3.38,0.005,30
0.04,0.17,-0.04,-1.82,-0.005,30
0.05,-0.74,-1.18,-0.99,-0.005,30
0.06,-1.65,3.28,2.02,0.021,30
0.07,0.39,-0.87,-0.99,-0.005,30
0.08,-0.67,0.49,1.42,-0.005,30
0.09,-0.14,1.32,-0.69,0.000,30
0.10,-1.20,-2.01,0.66,0.005,30
0.11,-0.14,1.85,0.59,0.011,30
0.12,0.85,-2.01,1.19,-0.005,30
0.13,-0.74,0.64,1.42,0.011,30
0.14,0.39,-1.78,-0.39,0.011,30
0.15,-0.52,0.34,-1.52,-0.005,30
0.16,-0.97,6.61,3.45,0.011,30
0.17,0.85,3.97,-7.86,-0.010,30
0.18,-2.11,-0.95,6.62,-0.010,30
0.19,-0.74,0.41,-1.37,0.011,30
0.20,1.53,-3.37,1.27,0.000,30
0.21,0.70,5.25,2.25,-0.010,30
0.22,1.38,1.85,-4.61,-0.005,30
0.23,4.56,-0.35,-3.18,-0.015,30
0.24,0.62,0.18,1.27,0.021,30
0.25,-1.73,-1.25,-0.32,0.021,30
0.26,0.32,-1.63,-1.67,0.005,30
0.27,-1.80,-0.87,6.47,0.011,30
0.28,-2.79,0.71,4.36,0.021,30
0.29,-3.09,2.45,-4.54,0.011,30
0.30,-2.48,-4.05,-0.92,-0.010,30
0.31,-1.58,5.93,0.97,0.016,30
0.32,-0.21,-1.03,-3.41,0.011,30
0.33,0.39,-10.63,2.55,-0.010,30
0.34,-1.35,0.56,3.76,0.021,30
0.35,-0.06,-1.86,1.34,0.016,30
0.36,-1.05,1.55,0.51,0.011,30
0.37,-2.18,0.03,0.97,0.026,30
0.38,-0.14,0.64,-3.41,-0.005,30
0.39,-0.97,0.11,1.57,0.016,30
