Time,X-Axis Acceleration,Y-Axis Acceleration,Z-Axis Acceleration,Force,,,Pressure
0,0.24,0,1.02,-0.011,,,40
0.01,0.98,1.51,-1.69,-0.005,,,40
0.02,-1.53,-0.16,2.23,0.011,,,40
0.03,-0.42,0.22,-1.99,0.005,,8982.868,40
0.04,0.39,0.53,0.19,-0.005,,,40
0.05,0.1,0.15,0.87,0,,,40
0.06,-0.12,0.68,-0.18,0.016,,,40
0.07,-1.3,-0.46,1.17,0.016,,,40
0.08,-0.94,-0.53,0.72,0,,,40
0.09,-0.2,-0.23,1.02,0.016,,,40
0.1,0.32,1.13,-1.47,-0.011,,,40
0.11,-0.57,0.45,-1.01,0.011,,,40
0.12,-0.49,1.66,-1.09,0.011,,,40
0.13,-1.45,-1.06,0.8,0.016,,,40
0.14,0.17,1.36,-1.39,0.005,,,40
0.15,0.02,-1.14,0.57,0.005,,,40
0.16,-0.42,-0.53,0.65,-0.005,,,40
0.17,0.91,-0.46,-2.67,0.005,,,40
0.18,-1.08,-0.23,1.93,0.005,,,40
0.19,0.32,-0.91,1.47,0.005,,,40
0.2,2.01,-1.59,-1.47,-0.005,,,40
0.21,-0.35,0.98,-1.77,0,,,40
0.22,-0.12,-3.56,-0.41,0.016,,,40
0.23,-0.94,2.04,-0.03,0.005,,,40
0.24,0.17,2.8,-0.41,0.005,,,40
0.25,1.65,0.53,-0.79,-0.011,,,40
0.26,0.02,3.02,-1.01,0.005,,,40
0.27,-3.44,1.66,-0.64,0.022,,,40
0.28,-1.67,-2.65,1.93,0.016,,,40
0.29,1.94,3.25,-0.79,0.011,,,40
0.3,0.91,-2.81,-1.31,0.005,,,40
0.31,1.13,-3.79,-1.09,-0.022,,,40
0.32,-0.05,-3.34,-1.09,-0.011,,,40
0.33,-0.27,-0.99,-2.22,0.005,,,40
0.34,1.79,0.37,-0.86,0.005,,,40
0.35,-1.97,0.6,2.15,0.011,,,40
0.36,1.79,1.74,-0.03,0,,,40
0.37,0.32,0,1.17,0.005,,,40
0.38,-0.35,2.19,-1.01,0.005,,,40
0.39,-0.42,1.21,-1.84,0.005,,,40
0.4,1.35,1.28,1.02,-0.005,,,40
0.41,1.57,-0.08,0.72,0.005,,,40
0.42,-2.19,2.12,-0.64,0.011,,,40
0.43,-1.01,-3.26,-0.94,0.016,,,40
0.44,0.98,1.89,1.02,-0.005,,,40
0.45,-0.35,0.53,1.93,0,,,40
0.46,0.83,0.9,0.65,0.005,,,40
0.47,0.69,1.96,-0.18,-0.005,,,40
0.48,-1.16,-1.22,1.4,0.022,,,40
0.49,-0.12,3.7,-0.86,0,,,40
0.5,-1.67,-1.29,2.23,0.011,,,40
